,Unnamed: 0,uid,file,zero_pred,one_pred,pred,label,temporal_frame_start_times,acc,cfnmtx
42337,6048,0_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,3.269648,-3.245026,0,0,0.0,1,TN
42344,6049,1_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,0.074339025,0.1588019,1,0,0.023219954648526,0,FP
42351,6050,2_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.002688812,0.2584939,1,0,0.0464399092970521,0,FP
42358,6051,3_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,0.07809387,0.15569416,1,0,0.0696598639455782,0,FP
42365,6052,4_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,0.012810061,0.16303264,1,0,0.0928798185941043,0,FP
42372,6053,5_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.038300224,0.21052888,1,0,0.1160997732426303,0,FP
42379,6054,6_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.044073753,0.21713364,1,0,0.1393197278911564,0,FP
42386,6055,7_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.038572345,0.20941731,1,0,0.1625396825396825,0,FP
42393,6056,8_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.034495205,0.19976841,1,0,0.1857596371882086,0,FP
42400,6057,9_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.033473514,0.19264013,1,0,0.2089795918367347,0,FP
42407,6058,10_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.03302011,0.18831888,1,1,0.2321995464852607,1,TP
42414,6059,11_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.034474984,0.18795495,1,1,0.2554195011337868,1,TP
42421,6060,12_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.035110243,0.18829879,1,1,0.2786394557823129,1,TP
42428,6061,13_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.036529668,0.19031443,1,1,0.301859410430839,1,TP
42435,6062,14_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.039806813,0.19496664,1,1,0.3250793650793651,1,TP
42442,6063,15_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.04285398,0.2010211,1,1,0.3482993197278911,1,TP
42449,6064,16_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.046729065,0.20840436,1,1,0.3715192743764172,1,TP
42456,6065,17_nips4b_birds_trainfile001.wav,nips4b_birds_trainfile001.wav,-0.049451582,0.21581292,1,1,0.3947392290249433,1,TP
