,Unnamed: 0,uid,file,zero_pred,one_pred,pred,label,temporal_frame_start_times,Acc,cfnmtx
81437,12096,0_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.07497309,-0.058589313,0,0,0.0,1,TN
81443,12097,1_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.055804227,-0.060058843,0,1,0.023219954648526,0,FN
81449,12098,2_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.043082364,-0.057402905,0,1,0.0464399092970521,0,FN
81455,12099,3_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.03819622,-0.052072044,0,1,0.0696598639455782,0,FN
81461,12100,4_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.033561435,-0.04728009,0,1,0.0928798185941043,0,FN
81467,12101,5_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.031345546,-0.04430112,0,1,0.1160997732426303,0,FN
81473,12102,6_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.03193286,-0.04402602,0,0,0.1393197278911564,1,TN
81479,12103,7_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.032885976,-0.044510674,0,1,0.1625396825396825,0,FN
81485,12104,8_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.032716174,-0.044683877,0,1,0.1857596371882086,0,FN
81491,12105,9_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.032421064,-0.044724416,0,0,0.2089795918367347,1,TN
81497,12106,10_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.032148216,-0.044501323,0,0,0.2321995464852607,1,TN
81503,12107,11_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.031681206,-0.044155028,0,1,0.2554195011337868,0,FN
81509,12108,12_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.03109022,-0.043750178,0,1,0.2786394557823129,0,FN
81515,12109,13_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.030645356,-0.043400478,0,1,0.301859410430839,0,FN
81521,12110,14_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.030368265,-0.043141823,0,1,0.3250793650793651,0,FN
81527,12111,15_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.02993516,-0.04274531,0,1,0.3482993197278911,0,FN
81533,12112,16_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.029249337,-0.04207005,0,1,0.3715192743764172,0,FN
81539,12113,17_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.02892356,-0.041720744,0,1,0.3947392290249433,0,FN
81545,12114,18_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.02892146,-0.041773107,0,0,0.4179591836734694,1,TN
81551,12115,19_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.029366018,-0.04223964,0,0,0.4411791383219954,1,TN
81557,12116,20_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.029329645,-0.042426337,0,1,0.4643990929705215,0,FN
81563,12117,21_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.029248517,-0.042813007,0,1,0.4876190476190476,0,FN
81569,12118,22_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.028946958,-0.042913746,0,1,0.5108390022675737,0,FN
81575,12119,23_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.028256144,-0.042866524,0,1,0.5340589569160997,0,FN
81581,12120,24_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.027038785,-0.042334113,0,1,0.5572789115646258,0,FN
81587,12121,25_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.02533463,-0.041249376,0,0,0.5804988662131519,1,TN
81593,12122,26_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.023651285,-0.040000025,0,1,0.603718820861678,0,FN
81599,12123,27_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.022476839,-0.0389495,0,1,0.626938775510204,0,FN
81605,12124,28_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.021726353,-0.038161915,0,1,0.6501587301587302,0,FN
81611,12125,29_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.021057336,-0.03744832,0,1,0.6733786848072563,0,FN
81617,12126,30_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.020551533,-0.03669805,0,1,0.6965986394557823,0,FN
81623,12127,31_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.020241762,-0.03629782,0,1,0.7198185941043084,0,FN
81629,12128,32_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.019857539,-0.035992764,0,0,0.7430385487528345,1,TN
81635,12129,33_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.01948278,-0.035835434,0,0,0.7662585034013606,1,TN
81641,12130,34_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.019525152,-0.036022957,0,0,0.7894784580498866,1,TN
81647,12131,35_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.018394385,-0.0354228,0,0,0.8126984126984127,1,TN
81653,12132,36_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.016582606,-0.033674538,0,0,0.8359183673469388,1,TN
81659,12133,37_nips4b_birds_trainfile002.wav,nips4b_birds_trainfile002.wav,0.015556856,-0.03225085,0,0,0.8591383219954648,1,TN
